id,img,preview,publish_time,title,type
842,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/842/cover.jpg,这家消费电子龙头三大核心业务协同发展，Q3净利润超指引上限。莱尼整合进展超预期，汽车业务开启第二成长曲线。AI算力需求高增，提前布局的AI数据中心相关业务，多款产品已批量交付。,1762306200000,受益于AI算力+汽车智能化高景气，这家消费电子龙头Q3净利润超指引上限,1
794,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/794/cover.jpg,AI浪潮下，存储产品涨价或将延续。国内这家刻蚀硅材料龙头的硅零部件产品是存储芯片制造核心耗材，下游客户覆盖长江存储、北方华创等厂商，业绩弹性有望受益市场新机会。同时，公司已于二季度小幅增加硅片生产量。,1759195800000,这家公司硅零部件产品为存储芯片制造核心耗材，下游客户覆盖长江存储等丨机构调研,1
682,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/682/cover.jpg,这家国产掩膜版龙头已实现180nm工艺节点半导体芯片掩膜版量产，正在推进28nm半导体芯片所需的掩膜版工艺开发规划。公司产能持续扩充，近期用于高精度掩膜版生产基地建设项目一期和高端半导体掩膜版生产基地建设项目一期的定增落地。,1754013600000,机构调研丨定增落地，这家国产光罩龙头正在推进28nm工艺产品开发规划,1
566,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/566/cover.jpg,这家国内可穿戴SOC龙头一季度营收利润创单季历史新高，连续5个季度毛利率环比提升。公司新一代智能可穿戴芯片已于2024年量产落地，2025年预计将在TWS耳机、智能手表、智能眼镜等产品中全面应用。,1748568600000,机构调研丨这家平台型SoC龙头连续5个季度毛利率环比提升，新一代智能可穿戴芯片已量产落地,1
561,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/561/cover.jpg,这家公司仿创CRO双布局，目前有数十项创新产品处于研发阶段，已建立自主多肽创新药物建库筛选体系和特色品种适应症管线布局，多款产品处于临床试验阶段。并牵手华为，共建AI多肽分子大模型平台。,1748397600000,机构调研丨这家公司仿创CRO双布局，目前有数十项创新产品处于研发阶段,1
557,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/557/cover.jpg,这家公司定位为“汽车+机器人Tier1”，2024年新项目订单金额规模再创新高，一季度全球新获全生命周期订单157亿元，在手订单充沛，并加速拓展至具身智能机器人产业链上下游。,1748309400000,机构调研丨这家公司一季度全球新获全生命周期订单157亿元，进军具身智能机器人市场,1
531,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/531/cover.jpg,这家智能运动控制领域龙头发布DH系列（DexHand）灵巧手解决方案，首款型号将于Q2起试产试销。,1747186200000,机构调研丨近一个月累涨超40%，这家公司发布灵巧手解决方案，Q2将试产试销,1
517,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/517/cover.jpg,全国首个宠物航站楼5月起将投入运营，五一暑期在即，“宠物+文旅”热度有望攀升。2025Q1国内线上宠物消费保持高增长，机构预计2027年市场规模有望超4000亿元。受益宠物企业经营数据持续向好，基金超配相关细分板块，机构认为行业高景气持续，看好相关受益标的。,1745976600000,行业风口丨五一“宠物+文旅”热度有望攀升！四千亿宠物经济蓝海，2025Q1国内线上宠物消费保持高增长,1
504,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/504/cover.jpg,跨境支付+昇腾，这家金融设备龙头具备跨境人民币支付资质，可提供数字人民币全栈技术服务，正探索海外牌照布局；旗下控股企业成为昇腾服务器整机合作伙伴，并打造大模型一体机、智审大模型一体机等产品，一体机业务量已达千万级规模。,1745458200000,机构调研丨这家金融设备龙头具备跨境人民币支付资质，已承建广州公共算力中心，一体机业务量已达千万级规模,1
464,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/464/cover.jpg,这家民爆矿服一体化龙头连续8年营收、净利润实现双增；矿服业务在手订单超300亿元，业绩规模增长或迎保障；积极进行民爆产业并购，2024年爆破服务收入全国第一，现有产能位居全国前列；海外业务规模逐步扩大；去年境外业务收入同比暴增43.66%；机构看好公司中长期稳健成长。,1743557400000,机构调研丨这家民爆矿服龙头超300亿元订单在握，民爆业务产能全国前列，营收、净利已连续八年双增,1
465,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/465/cover.jpg,这家智能医疗龙头2024年营收、利润同比双增长。聚焦心脑血管慢病领域，整合“远程健康监测设备+AI软件+医疗服务”。垂直领域大模型落地在即，有望打造核心闭环服务体系。,1743555600000,机构调研丨这家智能医疗龙头2024年营收、利润同比双增，整合AI+可穿戴+医疗，有望实现核心闭环服务,1
367,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/367/cover.jpg,1月以来多日获机构调研，这只机器人概念股近14个交易日反弹涨超48%！公司卡位谐波减速器齿轮，小微型减速器已实现小批量生产交货，已与国内部分人形机器人厂商建立合作，相关产品订单充足，同时将继续追加设备投入。,1738720800000,机构调研丨人形机器人热度不减！这家公司卡位谐波减速器齿轮，相关产品订单充足,1
238,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/238/cover.jpg,近日，国内电感行业龙头获机构密集调研。这家公司三季度营收与利润均创新高，汽车电子业务具备先发优势，AI服务器等新兴业务快速增长。,1731547800000,机构调研丨三季度营收、利润均创新高，这家电感行业龙头汽车电子业务先发优势明显，AI业务有望放量增长,1
83,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/83/cover.jpg,这家中药公司核心产品已覆盖超13000家医院，入选多地医药集采，随着各地集采陆续执行，该产品下半年销量有望延续增长。此外，公司积极把握中药茶饮风口，持续布局中药饮片及中药配方颗粒，业务规模有望进一步扩大。,1723514400000,机构调研丨这家中药公司核心产品已覆盖超13000家医院，医药集采有望推动下半年销量持续增长,1
82,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/82/cover.jpg,这家梯媒广告龙头上半年主营业务收入创新高，海外市场的点位数量及经营收入均实现双位数增长，公司承诺2024-2026年承诺分红比例不低于80%。此外，公司近期宣布与美团合作推进下沉计划，提高各自在低线城市的渗透率。,1723512600000,机构调研丨这家梯媒广告龙头上半年主营业务收入创新高，海外点位实现双位数增长，近期宣布与美团合作推进下沉计划,1
80,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/80/cover.jpg,上半年净利润同比增近170%，这家公司两轮车+割草机器人+全地形车+电动滑板车四大业务快速放量，电动两轮车为业绩主要增长点。公司产品矩阵持续丰富，新品加速落地，渠道端构建全球化销售网络。,1723424400000,机构调研丨上半年净利润同比增近170%，这家公司专注智能短交通+服务机器人领域，多款新品加速落地,1
78,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/78/cover.jpg,下游市场行情景气回暖，这一智能控制解决方案商上半年归母净利同比增超五成，Q2创单季度收入新高，获机构密集调研。工具、家电、新能源等各板块业务持续向好，其中工具板块下半年订单稳定可延续增长。此外，公司海外业务占比进一步提升，多个海外基地不断推进，公司预计未来会根据客户的需求，在越南、墨西哥、印度等地扩产，机构看好公司在全球的市场份额有望进一步提升。,1723422600000,机构调研｜下游市场景气度恢复，这一智能控制解决方案商上半年净利润同比增超50%，海外业务占比进一步提升,1
81,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/81/cover.jpg,国家电网和南方电网宣布投资规划高增，这家电力互联网企业产品历年中标居业内第一梯队，上半年营收净利再创新高，国际业务营收同比高增逾九成。截至6月底，公司累计在手订单超35亿元，有效支撑2024年业绩增长。此外，公司上半年通信芯片业务高速增长，多款通信模块自研产品获国际认证，近期分布式光伏接入产品及方案现已推向市场。,1723420800000,机构调研丨国网、南网投资规划高增，这家电力互联网企业产品历年中标居业内第一梯队，上半年营收净利再创新高,1
76,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/76/cover.jpg,牵手日本大厂，这家PCB厂商加快海外市场布局，为泰国基地注入强大的海外工厂管理经验，泰国基地预计在第三季度投产。同时为优化PCB产品结构，进一步满足AI服务器、AIPC等领域订单需求，公司拟增资全资子公司以提升HDI技术和产能,1723170600000,机构调研丨牵手日本大厂，这家PCB厂商加快海外市场布局，泰国基地预计Q3投产，同时增资子公司扩大HDI产能,1
73,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/73/cover.jpg,硬质合金数控刀具广泛应用于汽车、航空航天等领域的金属加工，这家头部制造商近日发布半年报，超出机构盈利预期！数控刀片业务量价齐升，二季度归母净利润环比涨超两倍，海外收入上半年同比增超43%，或成重要增长点。公司近期计划投资3.6亿元进行产能布局，产量有望进一步释放。,1723084200000,机构调研｜主业量价齐升，这家头部数控刀具制造商Q2净利环比增超两倍，海外收入或成重要增长点,1
67,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/67/cover.jpg,上半年净利超近两年之和！这家全球性汽车诊断厂商进军新能源充电桩市场，充电桩收入去年已同比增近5倍，且在欧美市场深度布局，机构预计有望受益于补贴法案落地。此外，公司透露下半年数字维修和充电桩板块均有新品推出的计划。,1722992400000,机构调研丨海外充电桩市场供需缺口巨大，这家公司进军充电桩业务，在欧美市场深度布局，上半年净利超近两年之和,1
66,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/66/cover.jpg,8月5日，三大指数均跌超1%再创阶段调整新低，旅游板块受利好消息影响逆势上涨，这家公司近日获超百家机构密集调研，二季度收入及净利均在高基数背景下实现两位数增长。公司景区受益于地区交通持续优化，客源市场半径逐步扩大。景区内项目持续扩容升级，年底开工项目预计将贡献千万级利润。,1722852206611,机构调研丨Q2业绩高增，超百家机构关注这只旅游股，地区交通改善有望带来客流增量,1
65,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/65/cover.jpg,黄羽肉鸡季节性消费特性明显，Q3有望继续提振，这家公司作为行业龙头之一，上半年净利同比增1近200%。公司黄羽鸡业务成本快速下降，猪价回暖+成本改善下，肉猪板块销售额增长明显，机构预计鸡猪共振下业绩有望保持强势增长。,1722850414820,机构调研丨黄羽鸡季节性消费特性明显，Q3有望继续提振，这家公司上半年业务成本快速下降，机构预计鸡猪共振下业绩有望保持强势增长,1
61,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/61/cover.jpg,7月30日，“推动高质量发展”系列主题新闻发布会举行，海关总署副署长赵增连介绍，党的十八大以来，我国货物贸易总额连续7年位居全球第一，2023年汽车出口较2012年增长了7.3倍。  这家商用车龙头今年7月份获得了52家机构密集调研，连续18年位居中国商用车行业销量第一，连续13年位居中国商用车出口第一，围绕新能源、出口两大战略，智能驾驶领域多点布局，L4级自动驾驶公交进入载人运行测试。,1722332240779,机构调研丨连续13年位居中国商用车出口第一，这家公司围绕“新能源+出口”战略布局，L4级自动驾驶公交进入载人运行测试,1
60,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/60/cover.jpg,7月29日，市场全天震荡分化，沪指微幅收涨，中船系板块涨幅居前，久之洋涨近9%，中国重工、中国海防涨超5%。消息面上，中国重工拟逾50亿元收购多项资产，提升造船产能。此外，设备更新补贴细则落地，支持老旧船舶更新换代、向新能源转型，船企盈利空间有望持续扩大。机构预计船舶行业新一轮景气周期来临，产业链业绩有望进入加速释放期，持续看好国内造船龙头企业。,1722244882923,行业风口丨多重利好来袭，中船系领涨市场！上半年我国三大造船指标同比高增，机构看好船舶行业新一轮景气周期来临,1
54,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/54/cover.jpg,上半年净利预增超2.5倍！这家全球高速光模块龙头400G和800G部分型号硅光模块开始批量出货，并已在为明年800G和1.6T产品的上量做产能准备，且国内工厂仍处在满产状态，公司预计第三季度出货量将保持环比增长。,1721640704869,机构调研丨上半年净利预增超2.5倍，这家全球高速光模块龙头预计Q3出货量将保持环比增长，已在为明年800G和1.6T产品的上量做产能准备,1
53,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/53/cover.jpg,7月19日芯片股集体爆发，近20股涨停。受益于芯片板块涨势，这家半导体检测设备公司收涨近4%。公司参股企业近日发布国内首台40nm半导体明场检测设备，核心零部件立足国产化，早期供应链建设均已签署排他协议。公司预计年底发布28nm级检测设备，核心零部件现均已开发完成。,1721381470148,机构调研丨芯片股集体爆发，这家公司参股企业发布国内首台40nm半导体明场检测设备，预计年底发布28nm级检测设备,1
52,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/52/cover.jpg,这家公司多年布局消费电子已进入收获期，客户覆盖苹果、华为等头部厂商，下半年有望迎来行业旺季。AI赋能消费电子背景下，公司将不断进行技术创新和产品升级。此外，通过收购华阳通，公司已拓展业务至数据通信、充电桩、储能等领域。随着产能持续释放，业绩增长有望迎来新驱动力。,1721380996631,机构调研丨客户覆盖苹果、华为等，这家公司消费电子业务已步入收获期，通信+新能源业务产能逐步释放，有望成为业绩新驱动力,1
51,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/51/cover.jpg,受到光伏行业持续调整、产业链价格不断下滑的影响，多家行业公司预计上半年净利润由盈转亏、亏损金额超过10亿元。其中，这家光伏组件头部制造商“逆流而上”，净利润已连续两个季度实现回暖，上半年预计盈利逾12亿元。公司放弃光伏部分亏损订单，主动减少部分光伏产品出货量；第二业务持续发力，全年大储产品出货量预计同比增超500%，公司预计下半年业绩有望好于上半年。,1721295181461,机构调研丨“逆流而上”，这家光伏组件头部制造商上半年净利润预超12亿，储能业务在手订单充沛，下半年业绩或继续好转,1
50,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/50/cover.jpg,上半年净利预增2倍！这家全球安防镜头龙头获上百家机构关注，股价自2月以来涨超65%。上半年安防镜头出货量及营收增长接近20%，且积极布局车载光学业务，玻璃非球面镜片广泛应用于车载ADAS镜头、AR/VR、智能手机等，目前产品正在配合A客户进行产品打样，另外公司新收购的全资孙公司上半年净利同比增近3倍。,1721292450129,机构调研丨上半年净利预增2倍！这家全球安防镜头龙头获上百家机构关注，积极布局车载光学业务，玻璃非球面镜片正配合A客户进行产品打样,1
49,https://zixuntong-zxg-1301073378.cos.ap-shanghai.myqcloud.com/research_report/49/cover.jpg,上交所即将发布两条科创板主题指数，半导体行业迎来传统旺季。这家AI芯片公司上半年利润预增超6倍，获超400家机构密集调研。公司二季度三大AI高性能“运力”芯片集体放量，归母扣非净利创下历史新高。公司预计下半年AI芯片需求场景进一步增加，存在新成长空间。,1721287937967,机构调研丨半导体行业迎来传统旺季，这家公司Q2三大AI芯片集体放量，归母扣非净利创历史新高,1
